Date,Total Equity,Domestic Equity,World Equity,Hybrid,Total Bond,Taxable Bond,Municipal Bond,Total
2007-01-31,27428,5964.0,21463,5472.0,15084,12263.0,2822,47984.0
2007-02-28,25440,8827.0,16612,5119.0,15011,11883.0,3128,45570.0
2007-03-31,6624,-340.0,6964,4181.0,14909,12056.0,2853,25714.0
2007-04-30,16183,-63.0,16246,4354.0,13622,12276.0,1346,34158.0
2007-05-31,-2876,-14176.0,11300,4318.0,20813,17215.0,3598,22256.0
2007-06-30,2893,-5618.0,8511,2754.0,7475,6975.0,500,13122.0
2007-07-31,9740,-5076.0,14816,3210.0,4172,3976.0,196,17122.0
2007-08-31,-16712,-18385.0,1673,1600.0,-4115,-2927.0,-1188,-19228.0
2007-09-30,6814,-4801.0,11615,2321.0,7382,5888.0,1495,16518.0
2007-10-31,9568,-5957.0,15525,3547.0,11478,10766.0,713,24593.0
2007-11-30,-11120,-15945.0,4825,2117.0,2017,3135.0,-1119,-6986.0
2007-12-31,405,-9557.0,9962,2175.0,617,4052.0,-3434,3198.0
2008-01-31,-45055,-35860.0,-9195,-631.0,23136,20639.0,2497,-22551.0
2008-02-29,8511,2122.0,6390,4450.0,13760,12547.0,1213,26721.0
2008-03-31,-9480,-8741.0,-739,158.0,8776,6217.0,2560,-546.0
2008-04-30,11867,5063.0,6804,3163.0,16600,13132.0,3468,31630.0
2008-05-31,14664,5579.0,9085,3559.0,17131,12124.0,5007,35354.0
2008-06-30,-4302,-4169.0,-133,652.0,4697,2078.0,2619,1047.0
2008-07-31,-26028,-18438.0,-7590,-2000.0,1966,-512.0,2478,-26063.0
2008-08-31,-19574,-1861.0,-17713,-24.0,7736,5314.0,2422,-11862.0
2008-09-30,-50061,-28135.0,-21926,-8057.0,-1461,-830.0,-631,-59578.0
2008-10-31,-70470,-44539.0,-25930,-16481.0,-41241,-32883.0,-8358,-128192.0
2008-11-30,-19719,-10667.0,-9052,-6762.0,-14887,-13713.0,-1174,-41369.0
2008-12-31,-19460,-9174.0,-10286,-2999.0,-7122,-2809.0,-4313,-29581.0
2009-01-31,9175,7440.0,1735,-756.0,16960,13099.0,3861,25378.0
2009-02-28,-24466,-13420.0,-11047,-5284.0,17266,12919.0,4347,-12484.0
2009-03-31,-24732,-15153.0,-9579,-4865.0,19982,16455.0,3527,-9615.0
2009-04-30,11734,9301.0,2433,2005.0,28844,23746.0,5098,42583.0
2009-05-31,17511,13398.0,4113,4038.0,31098,24455.0,6643,52646.0
2009-06-30,11831,5457.0,6373,1899.0,29326,23954.0,5372,43055.0
2009-07-31,9384,2690.0,6694,1669.0,35529,28737.0,6792,46582.0
2009-08-31,3804,-1488.0,5292,2983.0,43479,34439.0,9040,50266.0
2009-09-30,-1616,-4730.0,3114,2201.0,48173,38038.0,10135,48758.0
2009-10-31,-7199,-13802.0,6603,4427.0,43705,38763.0,4942,40933.0
2009-11-30,-2390,-8198.0,5809,3078.0,35971,30817.0,5155,36659.0
2009-12-31,-3687,-8648.0,4960,2577.0,26096,21410.0,4686,24986.0
2010-01-31,11656,1810.0,9846,3377.0,27627,23071.0,4556,42661.0
2010-02-28,-169,-5171.0,5003,2185.0,27383,22328.0,5056,29399.0
2010-03-31,10038,2053.0,7985,4824.0,37750,33728.0,4023,52612.0
2010-04-30,10428,1971.0,8457,4087.0,27672,26752.0,920,42187.0
2010-05-31,-24244,-18707.0,-5537,-2431.0,13858,11223.0,2635,-12818.0
2010-06-30,-2857,-5262.0,2406,731.0,18698,16760.0,1938,16572.0
2010-07-31,-11176,-10797.0,-378,354.0,29051,25241.0,3810,18229.0
2010-08-31,-15044,-14226.0,-819,-443.0,30091,24986.0,5105,14604.0
2010-09-30,-8767,-12111.0,3344,3082.0,24833,22543.0,2291,19148.0
2010-10-31,685,-5831.0,6516,4633.0,22828,20844.0,1984,28146.0
2010-11-30,761,-6316.0,7078,3600.0,-610,7080.0,-7690,3751.0
2010-12-31,704,-13153.0,13857,2232.0,-19956,-6626.0,-13331,-17021.0
2011-01-31,18738,10799.0,7939,8992.0,-2035,10362.0,-12397,25695.0
2011-02-28,11452,7350.0,4101,7225.0,9295,13610.0,-4314,27972.0
2011-03-31,2051,-5886.0,7937,6621.0,11428,14057.0,-2628,20100.0
2011-04-30,6348,1436.0,4912,5234.0,13969,17691.0,-3722,25551.0
2011-05-31,-4208,-6317.0,2109,4061.0,19655,19666.0,-11,19508.0
2011-06-30,-22569,-20337.0,-2232,1034.0,14169,13279.0,889,-7366.0
2011-07-31,-31769,-29330.0,-2440,885.0,9012,8980.0,31,-21873.0
2011-08-31,-28137,-25082.0,-3054,-2208.0,-5423,-4445.0,-977,-35767.0
2011-09-30,-12555,-13751.0,1196,1130.0,9782,8142.0,1640,-1642.0
2011-10-31,-20748,-18200.0,-2548,6012.0,10485,8506.0,1979,-4251.0
2011-11-30,-18518,-13889.0,-4629,-4527.0,18730,15531.0,3199,-4315.0
2011-12-31,-29345,-20387.0,-8958,2365.0,9800,5193.0,4607,-17180.0
2012-01-31,-593,-2715.0,2121,8395.0,26526,19919.0,6607,34328.0
2012-02-29,1465,-1618.0,3083,9454.0,33556,27181.0,6375,44475.0
2012-03-31,-10243,-12351.0,2108,7389.0,29983,26422.0,3561,27128.0
2012-04-30,-6563,-15211.0,8647,3250.0,24734,22123.0,2612,21421.0
2012-05-31,-8747,-11848.0,3101,419.0,19312,14377.0,4935,10984.0
2012-06-30,-6370,-9218.0,2848,270.0,16388,12446.0,3942,10288.0
